Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,545.0,555.45,544.05,554.3,577522
2020-07-02 10:15:00,554.3,557.9,551.75,556.9,583724
2020-07-02 11:15:00,556.9,559.0,554.45,557.35,380630
2020-07-02 12:15:00,557.25,558.0,555.6,556.5,374509
2020-07-02 13:15:00,556.5,560.9,556.15,560.7,379515
2020-07-02 14:15:00,560.7,562.5,557.95,561.3,670659
2020-07-02 15:15:00,561.2,564.8,560.6,562.15,270582
2020-07-03 09:15:00,567.5,570.0,562.0,564.35,989597
2020-07-03 10:15:00,564.45,565.0,558.7,560.6,403904
2020-07-03 11:15:00,560.6,562.5,558.15,559.15,298618
2020-07-03 12:15:00,559.05,560.3,555.15,555.5,267411
2020-07-03 13:15:00,555.45,557.0,553.0,554.05,291372
2020-07-03 14:15:00,554.15,560.35,552.25,559.4,539165
2020-07-03 15:15:00,559.4,559.95,557.75,559.05,159144
2020-07-06 09:15:00,563.0,563.7,557.4,559.6,254019
2020-07-06 10:15:00,559.4,562.6,557.05,562.15,714605
2020-07-06 11:15:00,562.2,565.8,560.65,564.1,323965
2020-07-06 12:15:00,564.1,564.85,562.85,564.0,177654
2020-07-06 13:15:00,563.95,570.0,563.45,564.45,404207
2020-07-06 14:15:00,564.45,567.35,564.0,566.65,243698
2020-07-06 15:15:00,566.6,568.0,564.5,566.5,232440
2020-07-07 09:15:00,566.5,569.65,558.45,562.0,449099
2020-07-07 10:15:00,562.0,562.6,555.7,556.05,189635
2020-07-07 11:15:00,556.05,557.5,553.85,557.15,200156
2020-07-07 12:15:00,557.15,561.4,557.0,561.15,199010
2020-07-07 13:15:00,561.15,569.0,560.0,569.0,1055515
2020-07-07 14:15:00,569.0,576.9,567.3,574.8,929644
2020-07-07 15:15:00,574.8,575.8,572.0,574.9,219734
2020-07-08 09:15:00,576.0,578.5,566.3,569.5,692482
2020-07-08 10:15:00,569.5,571.5,568.0,568.65,162684
2020-07-08 11:15:00,568.7,569.35,564.15,566.4,177949
2020-07-08 12:15:00,566.4,570.4,565.3,568.05,109968
2020-07-08 13:15:00,568.05,568.5,565.5,567.0,81526
2020-07-08 14:15:00,567.0,567.7,561.0,562.8,309185
2020-07-08 15:15:00,562.95,564.05,560.0,562.6,137267
2020-07-09 09:15:00,563.0,565.0,558.5,559.6,222185
2020-07-09 10:15:00,559.4,564.65,559.4,561.0,133429
2020-07-09 11:15:00,561.0,561.0,556.2,559.05,163492
2020-07-09 12:15:00,559.05,563.8,558.4,560.0,121063
2020-07-09 13:15:00,560.0,562.1,559.0,559.9,80078
2020-07-09 14:15:00,559.65,562.5,559.6,562.5,117275
2020-07-09 15:15:00,562.15,562.45,559.0,560.75,130879
2020-07-10 09:15:00,555.0,565.25,555.0,563.5,262546
2020-07-10 10:15:00,563.4,566.0,559.05,559.1,205448
2020-07-10 11:15:00,559.05,564.45,557.95,563.5,239966
2020-07-10 12:15:00,563.5,566.55,561.5,565.1,162515
2020-07-10 13:15:00,565.1,567.35,562.0,563.75,355015
2020-07-10 14:15:00,563.65,565.25,561.25,562.7,185573
2020-07-10 15:15:00,562.75,563.15,560.25,562.6,117301
2020-07-13 09:15:00,567.8,567.8,558.5,560.0,191530
2020-07-13 10:15:00,560.0,564.75,558.6,560.25,274217
2020-07-13 11:15:00,560.2,561.1,556.15,556.5,228884
2020-07-13 12:15:00,556.5,558.4,549.5,552.7,371442
2020-07-13 13:15:00,552.75,553.5,548.5,551.7,301000
2020-07-13 14:15:00,551.7,554.9,551.3,553.95,322378
2020-07-13 15:15:00,553.85,554.3,553.0,553.6,87272
2020-07-14 09:15:00,550.5,552.0,543.75,550.5,277415
2020-07-14 10:15:00,550.9,552.0,543.05,543.5,223905
2020-07-14 11:15:00,543.5,548.0,541.6,544.5,176859
2020-07-14 12:15:00,545.25,547.4,543.0,544.1,95690
2020-07-14 13:15:00,544.0,547.85,543.75,547.85,54453
2020-07-14 14:15:00,547.65,548.95,546.0,548.15,127056
2020-07-14 15:15:00,548.15,548.65,547.0,547.85,82070
2020-07-15 09:15:00,549.0,555.0,549.0,553.3,290761
2020-07-15 10:15:00,553.3,554.6,550.1,553.5,213898
2020-07-15 11:15:00,553.6,556.0,553.0,553.6,191473
2020-07-15 12:15:00,553.5,555.5,551.7,553.1,155763
2020-07-15 13:15:00,553.1,553.9,549.15,549.4,220577
2020-07-15 14:15:00,549.65,550.0,544.0,544.5,315954
2020-07-15 15:15:00,544.5,544.55,541.0,544.3,103200
2020-07-16 09:15:00,545.0,545.45,529.6,540.0,417717
2020-07-16 10:15:00,540.0,546.95,538.4,545.25,454222
2020-07-16 11:15:00,545.25,547.9,543.55,543.85,150696
2020-07-16 12:15:00,543.8,547.65,543.1,544.8,205948
2020-07-16 13:15:00,544.7,546.9,544.65,546.85,81088
2020-07-16 14:15:00,546.6,550.8,545.7,550.0,152030
2020-07-16 15:15:00,550.0,552.15,550.0,550.1,74222
2020-07-17 09:15:00,555.0,573.5,554.0,568.1,1455578
2020-07-17 10:15:00,568.1,572.0,565.6,570.95,502924
2020-07-17 11:15:00,570.7,576.0,570.0,574.35,717518
2020-07-17 12:15:00,574.35,575.35,573.0,574.2,307407
2020-07-17 13:15:00,574.45,581.0,574.1,578.25,685970
2020-07-17 14:15:00,578.25,578.85,571.6,576.3,498391
2020-07-17 15:15:00,576.0,579.95,575.35,576.6,253483
2020-07-20 09:15:00,581.85,600.0,580.1,598.2,2204950
2020-07-20 10:15:00,598.2,602.0,594.0,598.2,1431259
2020-07-20 11:15:00,598.5,599.7,597.0,597.05,569979
2020-07-20 12:15:00,597.05,600.5,596.9,598.3,430803
2020-07-20 13:15:00,598.75,600.6,596.95,600.1,492769
2020-07-20 14:15:00,600.5,601.5,597.0,597.35,692888
2020-07-20 15:15:00,597.6,598.95,597.0,597.45,303100
2020-07-21 09:15:00,600.6,609.5,597.1,603.6,920641
2020-07-21 10:15:00,603.8,607.0,603.0,606.0,407566
2020-07-21 11:15:00,605.55,608.3,603.35,604.8,312566
2020-07-21 12:15:00,604.8,604.8,601.75,603.25,310657
2020-07-21 13:15:00,603.25,603.25,595.2,597.0,401782
2020-07-21 14:15:00,597.15,600.2,595.85,597.7,377079
2020-07-21 15:15:00,597.7,598.0,594.6,596.95,137447
2020-07-22 09:15:00,600.0,600.3,590.5,597.7,390212
2020-07-22 10:15:00,597.55,604.85,597.4,603.6,417466
2020-07-22 11:15:00,603.65,605.45,597.15,603.25,560181
2020-07-22 12:15:00,603.35,603.5,598.5,599.35,198900
2020-07-22 13:15:00,599.5,599.8,592.5,592.65,303986
2020-07-22 14:15:00,592.55,596.95,590.05,595.4,228783
2020-07-22 15:15:00,595.9,596.0,594.0,595.6,65353
2020-07-23 09:15:00,596.6,607.95,593.7,606.45,746412
2020-07-23 10:15:00,606.3,607.0,602.35,604.9,324087
2020-07-23 11:15:00,604.9,611.45,603.8,608.9,748912
2020-07-23 12:15:00,608.9,609.4,603.0,603.05,495748
2020-07-23 13:15:00,603.05,603.55,597.4,599.05,419784
2020-07-23 14:15:00,599.0,600.3,594.4,596.15,315932
2020-07-23 15:15:00,596.0,597.25,594.0,595.6,174940
2020-07-24 09:15:00,594.5,599.9,590.0,596.5,371820
2020-07-24 10:15:00,596.5,596.5,590.1,591.8,210563
2020-07-24 11:15:00,591.5,594.55,591.0,591.8,82214
2020-07-24 12:15:00,591.7,594.9,591.5,593.0,77091
2020-07-24 13:15:00,593.0,596.3,592.2,593.65,98860
2020-07-24 14:15:00,593.55,594.8,591.0,594.0,173746
2020-07-24 15:15:00,594.0,594.95,592.25,594.0,92781
2020-07-27 09:15:00,597.95,598.0,576.4,580.15,476800
2020-07-27 10:15:00,580.05,584.65,578.8,581.65,235873
2020-07-27 11:15:00,581.65,586.65,580.5,585.1,180685
2020-07-27 12:15:00,585.1,585.4,581.6,584.25,100512
2020-07-27 13:15:00,584.25,589.6,583.3,588.15,191850
2020-07-27 14:15:00,588.15,589.7,584.35,589.5,224458
2020-07-27 15:15:00,589.45,592.65,589.0,589.75,105953
2020-07-28 09:15:00,586.65,589.0,573.8,574.9,619993
2020-07-28 10:15:00,574.8,583.2,574.7,581.35,312465
2020-07-28 11:15:00,581.4,582.25,577.05,580.65,268989
2020-07-28 12:15:00,580.95,582.3,577.2,580.0,231823
2020-07-28 13:15:00,580.45,581.9,578.2,580.2,189319
2020-07-28 14:15:00,580.3,581.9,579.5,580.65,246897
2020-07-28 15:15:00,580.7,581.9,580.0,580.85,120239
2020-07-29 09:15:00,583.7,596.0,583.7,592.1,587403
2020-07-29 10:15:00,592.45,597.8,590.15,593.9,419414
2020-07-29 11:15:00,593.9,597.0,593.85,596.25,223220
2020-07-29 12:15:00,595.85,598.5,589.4,593.55,503770
2020-07-29 13:15:00,593.5,596.85,592.4,593.0,184909
2020-07-29 14:15:00,593.05,595.35,587.5,588.15,246580
2020-07-29 15:15:00,588.2,590.85,587.05,589.45,95771
