,Total Trades,Winning Trades,Losing Trades,Win Rate,Average PnL,Total Profit,Max Drawdown,Stock
0,26,6,13,0.23076923076923078,-0.7673076923076875,-3629.3499999999794,0.04071979976132112,BHARTIARTL
1,47,15,19,0.3191489361702128,-0.025531914893614664,3323.9800000000278,0.031157239618681887,TATASTEEL
2,38,18,13,0.47368421052631576,1.3934210526315831,4384.800000000016,0.027000906782764122,LUPIN
3,35,12,16,0.34285714285714286,20.314285714285557,3883.9499999999716,0.016506345145609558,BOSCHLTD
4,26,13,8,0.5,2.8826923076923094,4148.050000000005,0.015165764297911721,SHRIRAMFIN
5,88,12,18,0.13636363636363635,-0.3840909090909093,-18786.4,0.1880081215262729,CGPOWER
6,18,7,5,0.3888888888888889,-0.23611111111110952,3301.1100000000156,0.004814727951934161,NYKAA
7,44,14,25,0.3181818181818182,-2.6727272727272915,-2884.600000000066,0.056098946624585144,TITAN
8,35,13,13,0.37142857142857144,0.19285714285713962,3015.349999999959,0.03245516553461392,PETRONET
9,36,6,14,0.16666666666666666,-0.33472222222221937,-6091.299999999957,0.11488764304043797,INDUSTOWER
10,35,10,17,0.2857142857142857,-1.7185714285714409,-5939.1500000000415,0.06203195800980199,GODREJCP
11,18,10,6,0.5555555555555556,1.463888888888909,810.5000000000073,0.010683106385951824,BRITANNIA
12,30,12,13,0.4,-0.031666666666677654,104.59999999994488,0.023429028412467967,HDFCLIFE
13,40,13,13,0.325,-0.5374999999999985,133.95000000000073,0.0684002449028579,TORNTPOWER
14,58,16,19,0.27586206896551724,-0.11155172413793543,1294.1499999999508,0.08689724434951596,LAURUSLABS
15,28,13,7,0.4642857142857143,0.32321428571428307,6647.599999999937,0.025106806511911106,BANKBARODA
16,61,30,14,0.4918032786885246,0.6762295081967213,14436.800000000021,0.028532781746215652,COALINDIA
17,36,12,10,0.3333333333333333,1.0444444444444505,6029.8000000000375,0.017237200118107143,JSWSTEEL
18,63,13,9,0.20634920634920634,2.9158730158730113,13595.999999999978,0.025760172731708053,ADANIENSOL
19,44,19,17,0.4318181818181818,-1.2090909090908921,-4879.849999999948,0.05057231908115711,HAVELLS
20,27,10,14,0.37037037037037035,20.38962962962956,3689.1299999999787,0.015656202832450505,NESTLEIND
21,40,14,9,0.35,1.908750000000009,11314.100000000053,0.013742426211835967,PAYTM
22,63,20,19,0.31746031746031744,1.4531746031746025,7002.250000000002,0.054828192926627106,DEEPAKNTR
23,47,12,13,0.2553191489361702,0.032340425531914886,2638.1799999999985,0.01968377809346311,GMRINFRA
24,35,4,8,0.11428571428571428,-0.02971428571428569,-7802.499999999993,0.07854202863178283,IDEA
25,26,5,15,0.19230769230769232,-2.2615384615384424,-3229.7999999999547,0.03957181587562397,ICICIGI
26,39,12,14,0.3076923076923077,-0.15897435897435722,-3340.199999999971,0.06129666905737119,ABFRL
27,38,19,17,0.5,0.6868421052631689,5120.250000000073,0.041091173356960775,ICICIBANK
28,43,13,21,0.3023255813953488,-0.28255813953488185,-2763.3999999999824,0.07258558976077534,IGL
29,37,13,19,0.35135135135135137,-3.3621621621622015,-931.8500000000049,0.041053580426440583,MARUTI
