date,open,high,low,close,volume
2024-02-01 13:45:00+05:30,2134.35,2135.0,2133.2,2134.9,4247
2024-02-01 13:50:00+05:30,2134.9,2137.8,2133.95,2136.0,7429
2024-02-01 13:55:00+05:30,2136.0,2137.0,2133.55,2134.65,3476
2024-02-01 14:00:00+05:30,2135.0,2135.0,2133.1,2133.5,3090
2024-02-01 14:05:00+05:30,2133.5,2135.0,2131.05,2134.85,47266
2024-02-01 14:10:00+05:30,2134.9,2139.9,2134.9,2137.0,21912
2024-02-01 14:15:00+05:30,2137.1,2138.85,2133.0,2138.85,8042
2024-02-01 14:20:00+05:30,2138.8,2139.65,2133.5,2134.0,7007
2024-02-01 14:25:00+05:30,2134.05,2140.65,2132.25,2140.65,9667
2024-02-01 14:30:00+05:30,2140.65,2140.65,2134.5,2136.15,7710
2024-02-01 14:35:00+05:30,2133.15,2135.9,2130.55,2130.8,10461
2024-02-01 14:40:00+05:30,2131.05,2135.25,2131.05,2132.25,9839
2024-02-01 14:45:00+05:30,2133.15,2135.55,2133.15,2134.0,7554
2024-02-01 14:50:00+05:30,2134.0,2136.75,2133.45,2136.1,8360
2024-02-01 14:55:00+05:30,2136.35,2137.0,2133.45,2134.4,12501
2024-02-01 15:00:00+05:30,2135.35,2138.85,2133.1,2135.0,22636
2024-02-01 15:05:00+05:30,2134.9,2137.25,2133.45,2134.3,19511
2024-02-01 15:10:00+05:30,2133.15,2135.2,2126.0,2127.4,33763
2024-02-01 15:15:00+05:30,2127.5,2128.25,2125.1,2127.6,24126
2024-02-01 15:20:00+05:30,2127.6,2127.6,2121.0,2121.25,24382
2024-02-01 15:25:00+05:30,2121.25,2121.25,2113.0,2118.35,25990
2024-02-02 09:15:00+05:30,2147.95,2149.0,2137.1,2140.6,7656
2024-02-02 09:20:00+05:30,2140.55,2143.8,2136.25,2142.65,4819
2024-02-02 09:25:00+05:30,2143.95,2145.0,2141.4,2144.0,3203
2024-02-02 09:30:00+05:30,2143.95,2143.95,2137.5,2140.7,6016
2024-02-02 09:35:00+05:30,2139.75,2145.85,2138.55,2142.85,3135
2024-02-02 09:40:00+05:30,2143.5,2148.3,2143.0,2148.3,3934
2024-02-02 09:45:00+05:30,2148.45,2149.0,2145.35,2149.0,3733
2024-02-02 09:50:00+05:30,2149.0,2149.0,2143.9,2144.7,3500
2024-02-02 09:55:00+05:30,2144.7,2145.9,2143.8,2145.0,2117
2024-02-02 10:00:00+05:30,2145.45,2147.5,2145.1,2146.55,2084
2024-02-02 10:05:00+05:30,2146.0,2147.5,2144.85,2145.95,1874
2024-02-02 10:10:00+05:30,2145.95,2146.95,2143.85,2145.45,1795
2024-02-02 10:15:00+05:30,2144.65,2145.0,2142.9,2143.85,1272
2024-02-02 10:20:00+05:30,2144.3,2145.45,2143.3,2145.0,1227
2024-02-02 10:25:00+05:30,2144.4,2145.0,2143.2,2144.15,1729
2024-02-02 10:30:00+05:30,2144.0,2144.1,2142.9,2143.05,498
2024-02-02 10:35:00+05:30,2142.15,2143.0,2140.55,2142.2,918
2024-02-02 10:40:00+05:30,2142.15,2143.9,2142.0,2143.8,662
2024-02-02 10:45:00+05:30,2143.25,2145.5,2142.8,2144.35,3462
