Total Trades,Winning Trades,Losing Trades,Win Rate,Average PnL,Total Profit,Max Drawdown
7,5,2,0.7142857142857143,1.1999999999999968,3841.24999999999,731.8500000000051
5,3,2,0.6,9.919999999999982,2242.2000000000016,33.60000000000764
7,3,3,0.42857142857142855,0.09285714285713961,184.02999999998974,1820.2000000000062
4,1,2,0.25,0.6875,569.4999999999974,229.5000000000087
9,6,2,0.6666666666666666,4.100000000000023,3744.4000000000124,591.600000000007
8,1,2,0.125,-0.30625000000000746,945.2499999999854,846.5500000000113
9,6,3,0.6666666666666666,103.705555555555,5274.199999999973,1223.000000000011
11,8,3,0.7272727272727273,4.322727272727258,5174.499999999987,2119.600000000011
22,12,9,0.5454545454545454,3.6454545454545424,9867.800000000005,2095.0999999999767
25,16,8,0.64,7.430000000000036,7377.200000000036,991.2000000000025
15,7,8,0.4666666666666667,0.2953333333333347,3456.2200000000194,832.370000000011
22,16,6,0.7272727272727273,13.590909090909111,7459.950000000015,906.0499999999956
11,5,5,0.45454545454545453,0.8772727272727355,1883.0500000000156,892.6999999999964
9,7,1,0.7777777777777778,3.1055555555555667,6285.65000000002,617.8999999999887
7,4,2,0.5714285714285714,2.5642857142856963,3849.2499999999723,1568.0000000000068
5,2,2,0.4,1.6199999999999932,733.9499999999994,1132.8000000000027
11,9,2,0.8181818181818182,1.2818181818181813,6798.050000000012,376.9499999999939
15,6,9,0.4,-0.05666666666666629,11.900000000005548,2042.9500000000166
3,1,1,0.3333333333333333,3.000000000000019,2450.700000000007,316.79999999999563
9,7,2,0.7777777777777778,4.661111111111142,6149.300000000036,716.7999999999884
18,9,9,0.5,2.622222222222212,2483.4499999999903,3432.300000000001
5,3,1,0.6,0.31800000000000067,4784.810000000016,395.84999999999627
19,14,5,0.7368421052631579,37.324210526315746,4799.95999999999,1120.1199999999963
13,8,5,0.6153846153846154,15.446153846153912,9319.200000000039,630.1999999999916
1,0,0,0.0,0.0,0.0,0.0
10,6,3,0.6,0.4699999999999818,690.7499999999891,2100.350000000006
5,2,2,0.4,1.2800000000000125,2478.80000000002,967.7499999999911
8,5,3,0.625,1.0375000000000085,1738.9500000000144,948.0
24,12,12,0.5,1.0833333333333428,3208.250000000031,1753.9499999999819
5,2,2,0.4,0.2999999999999773,380.4999999999807,1665.5
18,10,8,0.5555555555555556,38.87777777777784,6964.750000000013,647.3999999999905
11,7,4,0.6363636363636364,1.5445454545454451,3572.4799999999846,1090.1700000000055
17,14,3,0.8235294117647058,2.297058823529426,6975.150000000039,777.0
1,1,0,1.0,16.549999999999955,1555.6999999999957,0.0
21,15,5,0.7142857142857143,2.683333333333337,11579.100000000017,738.1500000000051
8,4,2,0.5,0.4312499999999986,6612.149999999979,728.1000000000104
23,11,11,0.4782608695652174,8.591304347826084,2875.5999999999967,2820.599999999996
5,1,2,0.2,-0.15000000000001137,40.049999999983356,1324.950000000013
10,4,6,0.4,0.06999999999998181,-152.45000000003006,3094.400000000015
4,0,0,0.0,0.0,0.0,0.0
7,2,3,0.2857142857142857,-1.2714285714285682,-1400.699999999995,2645.699999999986
6,4,2,0.6666666666666666,1.9499999999999982,5013.600000000007,1622.99999999999
9,7,2,0.7777777777777778,2.3166666666666598,7130.399999999978,501.0
8,8,0,1.0,3.3187499999999908,9616.999999999989,0.0
6,3,1,0.5,7.558333333333242,2269.649999999974,1864.8000000000038
6,3,3,0.5,1.083333333333324,2820.149999999977,558.8000000000079
21,12,9,0.5714285714285714,2.961904761904753,1830.0499999999893,2668.5499999999965
9,6,3,0.6666666666666666,5.355555555555522,3374.449999999978,1347.0
15,9,5,0.6,6.743333333333324,5634.699999999992,1433.5000000000118
6,1,5,0.16666666666666666,-1.2499999999999811,-1404.4999999999782,1720.3999999999994
4,2,2,0.5,10.399999999999977,897.9999999999941,912.0000000000073
15,8,7,0.5333333333333333,0.35333333333333505,4541.55000000001,1097.5000000000005
24,15,8,0.625,11.604166666666629,6979.34999999998,1102.699999999997
20,5,15,0.25,-7.687499999999955,-3489.699999999976,4436.699999999976
14,8,6,0.5714285714285714,0.17714285714285744,3147.630000000008,1215.7500000000045
